nome,abreviacao,posicao,pontos,data
Oscar Piastri,PIA,1,234,2025-07-12
Lando Norris,NOR,2,226,2025-07-12
Max Verstappen,VER,3,165,2025-07-12
George Russell,RUS,4,147,2025-07-12
Charles Leclerc,LEC,5,119,2025-07-12
Lewis Hamilton,HAM,6,103,2025-07-12
Kimi Antonelli,ANT,7,63,2025-07-12
Alexander Albon,ALB,8,46,2025-07-12
Nico Hülkenberg,HUL,9,37,2025-07-12
Esteban Ocon,OCO,10,23,2025-07-12
Isack Hadjar,HAD,11,21,2025-07-12
Lance Stroll,STR,12,20,2025-07-12
Pierre Gasly,GAS,13,19,2025-07-12
Fernando Alonso,ALO,14,16,2025-07-12
Carlos Sainz,SAI,15,13,2025-07-12
Liam Lawson,LAW,16,12,2025-07-12
Yuki Tsunoda,TSU,17,10,2025-07-12
Oliver Bearman,BEA,18,6,2025-07-12
Gabriel Bortoleto,BOR,19,4,2025-07-12
Franco Colapinto,COL,20,0,2025-07-12
Jack Doohan,DOO,21,0,2025-07-12
Oscar Piastri,PIA,1,234,2025-07-12
Lando Norris,NOR,2,226,2025-07-12
Max Verstappen,VER,3,165,2025-07-12
George Russell,RUS,4,147,2025-07-12
Charles Leclerc,LEC,5,119,2025-07-12
Lewis Hamilton,HAM,6,103,2025-07-12
Kimi Antonelli,ANT,7,63,2025-07-12
Alexander Albon,ALB,8,46,2025-07-12
Nico Hülkenberg,HUL,9,37,2025-07-12
Esteban Ocon,OCO,10,23,2025-07-12
Isack Hadjar,HAD,11,21,2025-07-12
Lance Stroll,STR,12,20,2025-07-12
Pierre Gasly,GAS,13,19,2025-07-12
Fernando Alonso,ALO,14,16,2025-07-12
Carlos Sainz,SAI,15,13,2025-07-12
Liam Lawson,LAW,16,12,2025-07-12
Yuki Tsunoda,TSU,17,10,2025-07-12
Oliver Bearman,BEA,18,6,2025-07-12
Gabriel Bortoleto,BOR,19,4,2025-07-12
Franco Colapinto,COL,20,0,2025-07-12
Jack Doohan,DOO,21,0,2025-07-12
