round,nome,abreviacao,posicao,pontos
1,Lando Norris,NOR,1,25
1,Max Verstappen,VER,2,18
1,George Russell,RUS,3,15
1,Kimi Antonelli,ANT,4,12
1,Alexander Albon,ALB,5,10
1,Lance Stroll,STR,6,8
1,Nico Hülkenberg,HUL,7,6
1,Charles Leclerc,LEC,8,4
1,Oscar Piastri,PIA,9,2
1,Lewis Hamilton,HAM,10,1
1,Pierre Gasly,GAS,11,0
1,Yuki Tsunoda,TSU,12,0
1,Esteban Ocon,OCO,13,0
1,Oliver Bearman,BEA,14,0
1,Liam Lawson,LAW,-1,0
1,Gabriel Bortoleto,BOR,-1,0
1,Fernando Alonso,ALO,-1,0
1,Carlos Sainz,SAI,-1,0
1,Jack Doohan,DOO,-1,0
1,Isack Hadjar,HAD,-1,0
2,Lando Norris,NOR,1,44
2,Max Verstappen,VER,2,36
2,George Russell,RUS,3,35
2,Oscar Piastri,PIA,4,34
2,Kimi Antonelli,ANT,5,22
2,Alexander Albon,ALB,6,16
2,Esteban Ocon,OCO,7,10
2,Lance Stroll,STR,8,10
2,Lewis Hamilton,HAM,9,9
2,Charles Leclerc,LEC,10,8
2,Nico Hülkenberg,HUL,11,6
2,Oliver Bearman,BEA,12,4
2,Yuki Tsunoda,TSU,13,3
2,Carlos Sainz,SAI,14,1
2,Pierre Gasly,GAS,15,0
2,Isack Hadjar,HAD,16,0
2,Liam Lawson,LAW,17,0
2,Jack Doohan,DOO,18,0
2,Gabriel Bortoleto,BOR,19,0
2,Fernando Alonso,ALO,-1,0
3,Lando Norris,NOR,1,62
3,Max Verstappen,VER,2,61
3,Oscar Piastri,PIA,3,49
3,George Russell,RUS,4,45
3,Kimi Antonelli,ANT,5,30
3,Charles Leclerc,LEC,6,20
3,Alexander Albon,ALB,7,18
3,Lewis Hamilton,HAM,8,15
3,Esteban Ocon,OCO,9,10
3,Lance Stroll,STR,10,10
3,Nico Hülkenberg,HUL,11,6
3,Oliver Bearman,BEA,12,5
3,Isack Hadjar,HAD,13,4
3,Yuki Tsunoda,TSU,14,3
3,Carlos Sainz,SAI,15,1
3,Pierre Gasly,GAS,16,0
3,Fernando Alonso,ALO,17,0
3,Liam Lawson,LAW,18,0
3,Jack Doohan,DOO,19,0
3,Gabriel Bortoleto,BOR,20,0
4,Lando Norris,NOR,1,77
4,Oscar Piastri,PIA,2,74
4,Max Verstappen,VER,3,69
4,George Russell,RUS,4,63
4,Charles Leclerc,LEC,5,32
4,Kimi Antonelli,ANT,6,30
4,Lewis Hamilton,HAM,7,25
4,Alexander Albon,ALB,8,18
4,Esteban Ocon,OCO,9,14
4,Lance Stroll,STR,10,10
4,Pierre Gasly,GAS,11,6
4,Nico Hülkenberg,HUL,12,6
4,Oliver Bearman,BEA,13,6
4,Yuki Tsunoda,TSU,14,5
4,Isack Hadjar,HAD,15,4
4,Carlos Sainz,SAI,16,1
4,Fernando Alonso,ALO,17,0
4,Liam Lawson,LAW,18,0
4,Jack Doohan,DOO,19,0
4,Gabriel Bortoleto,BOR,20,0
5,Oscar Piastri,PIA,1,99
5,Lando Norris,NOR,2,89
5,Max Verstappen,VER,3,87
5,George Russell,RUS,4,73
5,Charles Leclerc,LEC,5,47
5,Kimi Antonelli,ANT,6,38
5,Lewis Hamilton,HAM,7,31
5,Alexander Albon,ALB,8,20
5,Esteban Ocon,OCO,9,14
5,Lance Stroll,STR,10,10
5,Pierre Gasly,GAS,11,6
5,Nico Hülkenberg,HUL,12,6
5,Oliver Bearman,BEA,13,6
5,Isack Hadjar,HAD,14,5
5,Carlos Sainz,SAI,15,5
